 102 0 0 80  4 2   9
 104 1 0 35  1 2  14
 105 1 0 20  2 2  18
 106 0 0 98  7 3   6
 107 1 0 60  2 2  20
 108 0 0 85  7 4  19
 110 0 1 75  3 2  20
 111 1 0 35  7 1  14
 112 0 1 75  5 4  17
 113 0 0 75  8 3  10
 115 1 0 50  2 1  11
 116 0 0 85  3 2  15
 117 0 1 95  2 4  18
 118 0 0 50  2 2  14
 119 0 0 95  8 3  12
 120 0 0 80  6 2  10
 121 0 1 80  1 2  17
 122 1 0 35  5 1  20
 123 0 0 75  6 2  17
 124 1 0 60  1 2  19
 125 0 0 90  2 2  13
 126 0 0 95  4 4  15
 127 1 0 45  8 3  12
 128 0 0 90  3 2  12
 129 1 0 30  8 3  13
 130 1 0 55  2 2  17
 131 0 1 95  7 4  12
 132 1 0 20  8 1  17
 133 0 0 80  3 2  11
 134 0 0 70  6 3  15
 135 0 0 80  2 2   7
 136 1 0 70  1 2  16
 137 1 0 60  1 2  16
